TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
32,Sensor protein kinase WalK (EC 2.7.13.3),Staphylococcus aureus ,Strain NCTC 8325  /  PS 47,Q2G2U4,5IS1,10368139; 14762013; 17827301; 22825451; 27389096,"ATP binding, metal ion binding, phosphorelay response regulator activity, phosphorelay sensor kinase activity, protein kinase activator activity",Transferase
33,Protein FimG,Escherichia coli ,Strain K12,P08190,5IQO,2890081; 7610040; 9278503; 16738553,Not Available,Cell adhesion
34,2-heptyl-4(1H)-quinolone synthase subunit PqsB,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9I4X2,5DWZ,10984043; 24239007; 26811339,AcylTransferase activity,Transferase
35,2-heptyl-4(1H)-quinolone synthase subunit PqsC (EC 2.3.1.230),Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9I4X1,5DWZ,10984043; 24239007; 26811339,"3-oxoacyl-[acyl-carrier-protein] synthase activity, beta-ketoacyl-acyl-carrier-protein synthase III activity",Transferase
36,Minor fimbrium tip subunit MfA4 (Immunoreactive 32 kDa antigen),Porphyromonas gingivalis ,Strain ATCC 33277  /  DSM 20709  /  CIP 103683  /  JCM 12257  /  NCTC 11834  /  2561,B2RHG4,5DHM,18524787; 19589838; 24118823; 26001707; 26437277; 26972441,Not Available,Cell adhesion
37,Fimbrial subunit CupB6,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9HWU7,5CYL,10984043; 27481165,Not Available,Cell adhesion
38,CRISPR-associated nuclease / helicase Cas3 subtype I-F / YPEST (EC 3.1.-.-) (EC 3.6.4.-),Pseudomonas aeruginosa,Strain UCBPP-PA14,Q02ML8,"5B7I, 5GQH",17038190; 18952788; 21398535; 21081758; 27455460; 27585537,"ATP binding, helicase activity, Hydrolase activity, Metal ion binding",Hydrolase
39,Diguanylate cyclase DosC (DGC) (EC 2.7.7.65) (Direct oxygen-sensing cyclase),Escherichia coli ,Strain K12,P0AA89,4ZVA,9097039; 9278503; 16738553; 16418169; 17010156; 19764732; 19332833; 21067162; 20303158; 20553324; 20576684; 22005448; 26148715,"Carbon monoxide binding, Diguanylate cyclase activity, GTP binding, heme binding, Metal ion binding, oxygen binding",Signaling Protein
40,PslG,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9I1N2,4ZN2,10984043; 26611635; 26424791,"Hydrolase activity,  hydrolyzing O-glycosyl compounds",Hydrolase
41,GGDEF domain-containing protein,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9HW69,4WXO,10984043,"Diguanylate cyclase activity, Metal ion binding",Transferase
42,Transcriptional regulator FleQ,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,G3XCV0,4WXM,10984043; 9287015; 11673434; 22581773; 26362077; 26712005,"ATP binding, cis-regulatory region Sequence-specific DNA binding, cyclic-di-GMP binding, DNA-binding Transcription activator activity, DNA-binding Transcription repressor activity, Transcription cis-regulatory region binding",Transcriptional regulator
43,Surface protein G,Staphylococcus aureus ,Strain NCTC 8325  /  PS 47,Q2G2B2,4WVE,11830639; 12634333; 14523109; 17660408,Not Available,Structural protein
44,Fimbrial protein (Pilin),Neisseria meningitidis serogroup B ,Strain MC58,P05431,4V1J,3141743; 10710307; 413571; 8645220; 7934852; 8993351; 9515697; 17121595; 27698424,Not Available,Cell adhesion
45,Transcriptional regulatory protein CpxR,Escherichia coli ,Strain K12,P0AE88,"4UHJ, 4UHK, 4UHS, 4UHT",8294007; 8346018; 9278503; 16738553; 3058985; 7883164; 9351822; 9401031; 9473036; 10972835; 11830644; 16166523; 17259177; 23416055; 25207645; 28552574; 28552574; 30086390; 30086390,"DNA-binding Transcription activator activity, DNA-binding Transcription factor activity, phosphorelay response regulator activity, Transcription cis-regulatory region binding",Transcription
46,PgaB,Aggregatibacter actinomycetemcomitans ,"Actinobacillus actinomycetemcomitans,  Haemophilus actinomycetemcomitans",A5HJW8,4U10,17851029,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Metal ion binding",Hydrolase
47,Outer membrane porin F,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,P13794,"4RLC, 5U1H",2447060; 10984043; 25846137; 25846137,"Calcium ion binding, complement component C3b binding, porin activity",Peptide binding protein
48,Minor fimbrium tip subunit MfA4 (Immunoreactive 32 kDa antigen PG49),Porphyromonas gingivalis ,Strain ATCC BAA-308  /  W83,Q7MXK0,4RDB,12949112; 27062925; 27062925,Not Available,Structural protein
49,Fimbrium subunit Fim1C,Phocaeicola vulgatus ,Strain ATCC 8482  /  DSM 1447  /  JCM 5826  /  CCUG 4940  /  NBRC 14291  /  NCTC 11154 BacteroideS vulgatuS,A6L3B5,4QB7,17579514; 27062925; 27062925,Not Available,Cell adhesion
50,Major fimbrium subunit FimA type-4 (Fimbrillin) (Fimbrilin) (Major fimbrial subunit protein type-4) (FimA4),Porphyromonas gingivalis ,Strain ATCC BAA-308  /  W83,P59914,4Q98,12949112; 23809984; 27062925; 27062925,Structural molecule,Cell adhesion
51,Adhesin / invasin TibA autotransporter [Cleaved into: Adhesin / invasin TibA (Glycoprotein TibA); Adhesin / invasin TibA translocator],Escherichia coli O78:H11 ,Strain H10407  /  ETEC,Q9XD84,4Q1Q,10417177; 20802035; 8039917; 11119488; 15784535; 25211077,Not Available,Cell adhesion
52,Phosphate-binding protein PstS,Porphyromonas gingivalis ,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,G3XDA8,4OMB,16232467; 10984043; 12596240; 18282104; 6436026; 16232935; 24023943; 25005086,Phosphate ion binding,Transport protein
53,AIDA-I autotransporter (AIDA) [Cleaved into: Adhesin AIDA-I; AIDA-I translocator (AIDAc)],Escherichia coli,,Q03155,4MEE,1625582; 15950405; 8899706; 10559167; 15547278,Not Available,Protein binding
54,Serine-rich adhesin for platelets (Adhesin SraP) (Staphylococcus aureus surface protein A) (SasA),Staphylococcus aureus ,Strain NCTC 8325  /  PS 47,Q2FUW1,"4M00, 4M01, 4M02, 4M03",12634333; 15784571; 11830639; 18800056; 18621893; 19202081; 20472795; 20714350; 24901708; 24901708; 24901708; 24901708; 24901708,Calcium ion binding,Calcium binding protein
55,Putative fimbrium subunit Fim1C,Bacteroides uniformis ,Strain ATCC 8492  /  DSM 6597  /  CCUG 4942  /  CIP 103695  /  JCM 5828  /  KCTC 5204  /  NCTC 13054  /  VPI 0061,A7UZ95,4K4K,2.71E+15,Not Available,Cell adhesion
56,CapA (Capsular polysaccharide biosynthesis protein CapA) (Capsular polysaccharide type 8 biosynthesis protein cap8A) (Capsule biosynthesis protein CapA) (Chain length regulator (Capsular polysaccharide biosynthesis)) (Membrane protein CapB2),Staphylococcus aureus,,Q7BSA3,4JMP,10496925; 16565080; 24146800; 26048971; 3305292524146800,Not Available,Transferase
57,Putative fimbrium tip subunit Fim1C,Parabacteroides distasonis ,Strain ATCC 8503  /  DSM 20701  /  CIP 104284  /  JCM 5825  /  NCTC 11152,A6LHQ6,4JG5,17579514; 26972441; 27062925; 27062925,Not Available,Cell adhesion
58,Sensor protein VraS (EC 2.7.13.3),Staphylococcus aureus ,Strain Mu50  /  ATCC 700699,Q7A2Q0,4GT8,11418146; 10708580,"ATP binding, phosphorelay sensor kinase activity, protein dimerization activity",Transferase
59,Exodeoxyribonuclease III (EC 3.1.11.2),Pseudomonas aeruginosa,,Q51380,4F1R,8824606; 23281037; 23717639; 30758287,Exodeoxyribonuclease III activity,Transcriptional regulator
60,Putative fimbrium tip subunit Fim1C,Bacteroides ovatus ,Strain ATCC 8483  /  DSM 1896  /  JCM 5824  /  BCRC 10623  /  CCUG 4943  /  NCTC 11153,A7M4E1,4EPS,27062925;,Not Available,Structural protein
61,Sensor histidine kinase CpxA (EC 2.7.13.3),Escherichia coli ,Strain K12,P0AE82,4BIU,3007473; 3058985; 8346018; 9278503; 16738553; 2185221; 8432716; 7883164; 9351822; 9401031; 9473036; 10972835; 11830644; 15919996; 16166523; 17259177; 20005847; 21317318; 21239493; 25207645; 24492262,"ATP binding, Identical protein binding, phosphoprotein phosphatase activity, phosphorelay sensor kinase activity",Transferase
62,Biofilm-surface layer protein A (ORF-1),Bacillus subtilis ,Strain 168,P71014,4BHU,9384377; 8752328; 18978066; 21742882; 22571672; 28701036; 23904481; 26324938,Not Available,Structural protein
63,signaltransduction protein TRAP (Target of RNAIII-activating protein),Staphylococcus aureus ,Strain NCTC 8325  /  PS 47,Q2G2F3,4AE5,11160124; 14726534; 16177293,Not Available,Signaling protein
64,Pneumococcal serine-rich repeat protein (PsrP) (Adhesin PsrP) (Serine-rich repeat protein PsrP),Streptococcus pneumoniae serotype 4 ,Strain ATCC BAA-334  /  TIGR4,A0A0H2URK1,3ZGH,11463916; 16861665; 18507531; 19202081; 19627498; 20714350; 24936067; 28456649; 28246170; 24430336; 27582320,DNA binding,Structural protein
65,Trimeric autotransporter adhesin AtaA (TAA AtaA) (Type 5 secretion system autotransporter AtaA),Acinetobacter spp. ,Strain Tol 5,K7ZP88,3WPA,23155410; 17090933; 23893702; 27074146; 27305955; 28720107; 31653547; 31972092; 26698633,Not Available,Cell adhesion
66,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase (PGA N-deacetylase) (Poly-beta-1, 6-GlcNAc N-deacetylase) (EC 3.5.1.-)",Escherichia coli ,Strain K12,P75906,3VUS,8905232; 9278503; 16738553; 15090514; 18359807,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Hydrolase activity,  hydrolyzing O-glycosyl compounds",Hydrolase
67,Diguanylate cyclase DgcZ (DGC) (EC 2.7.7.65) (Zinc-sensory diguanylate cyclase),Escherichia coli ,Strain K12,P31129,3TVK,8383113; 9097039; 9278503; 16738553; 18713317; 19332833; 19460094; 20582742; 26148715; 23769666,"Diguanylate cyclase activity, GTP binding, Identical protein binding, zinc ion binding",Transferase
68,Acyl-homoserine lactone acylase PvdQ (AHL acylase PvdQ) (Acyl-HSL acylase PvdQ) (EC 3.5.1.97) [Cleaved into: Acyl-homoserine lactone acylase PvdQ subunit alpha (Acyl-HSL acylase PvdQ subunit alpha); Acyl-homoserine lactone acylase PvdQ subunit beta (Acyl-HSL acylase PvdQ subunit beta)],Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9I194,3SRA,10984043; 16495538; 12207696; 14532048; 12686626,"ADP-dependent short-chain-acyl-CoA Hydrolase activity, Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds,  in linear amides, Identical protein binding",Hydrolase
69,Fap1 adhesin (Adhesin Fap1) (Fimbriae-associated protein Fap1) (Serine-rich repeat protein Fap1),Streptococcus parasanguinis,,A1C3L3,3RGU,10594831; 16997950; 9632253; 20164186; 20584910,Not Available,Structural protein
70,Putative fimbrium tip subunit Fim1F,Parabacteroides distasonis ,Strain ATCC 8503  /  DSM 20701  /  CIP 104284  /  JCM 5825  /  NCTC 11152,A6LHQ9,3R4R,17579514; 26972441; 27062925; 27062925,Not Available,Cell adhesion
71,Response regulator,Xanthomonas campestris pv. campestris ,Strain ATCC 33913  /  DSM 3586  /  NCPPB 528  /  LMG 568  /  P 25,Q8P559,3QYY,12024217; 22120736,"Diguanylate cyclase activity, nucleotide binding",Signaling protein
72,Platelet binding protein GspB (Adhesin GspB) (Serine-rich adhesin for platelets) (Serine-rich repeat protein GspB),Streptococcus gordonii,,Q939N5,"3QC5, 3QC6, 5IUC, 6EF7, 6EF9, 6EFA",12010500; 8366515; 14729688; 15049820; 15489421; 19202081; 20714350; 21531800; 26884191; 21765814; 21765814; 21765814; 21765814,Not Available,Sugar binding protein
73,Diguanylate cyclase with PAS sensory domain (EC 2.7.7.65),Shewanella oneidensis ,Strain MR-1,Q8EGB0,3MFX,12368813,Diguanylate cyclase activity,Transcription
74,Probable two-component response regulator,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9HXT9,3I5C,10984043; 18366254; 19695263,"Diguanylate cyclase activity, Identical protein binding, nucleotide binding",Signaling protein 
75,mRNA interferase toxin MqsR (EC 3.1.-.-) (Endoribonuclease MqsR) (Motility quorum-sensing regulator MqsR) (Toxin MqsR),Escherichia coli ,Strain K12,Q46865,3HI2,9278503; 16738553; 16768798; 16352847; 19690171; 19909729; 20105222; 19943910; 21516113; 21788497; 29531044; 23432955; 23289863; 23172222; 25534751; 20041169,Endoribonuclease activity,DNA binding protein / toxin
76,Antitoxin MqsA,Escherichia coli ,Strain K12,Q46864,3HI2,9278503; 16738553; 16768798; 19690171; 20105222; 19943910; 21516113; 23432955; 23172222; 24212724; 25534751; 20823526; 20041169; 21068382; 22789559,"Metal ion binding, Sequence-specific DNA binding",DNA binding protein / toxin
77,Anthraniloyl-CoA anthraniloylTransferase (EC 2.3.1.262) (2-heptyl-4(1H)-quinolone synthase PqsD) (PqsD),Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,P20582,"3H76, 3H77, 3H78",10984043; 2153661; 18728009; 21425231; 22992202; 24239007; 19694421; 19694421; 19694421;19694421,"3-oxoacyl-[acyl-carrier-protein] synthase activity, acylTransferase activity",Transferase
78,Diguanylate cyclase,Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q74FR4,3EZU,14671304,Diguanylate cyclase activity,Signaling protein
79,Fucose-binding lectin PA-IIL,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9HYN5,3DCQ,10984043; 12415289; 12909014; 15790314; 15573375; 16438968; 17540045; 17623286; 19101469; 23719508; 27308201; 26898721; 29896342; 29147502; 29163899; 30830745; 31146126,"Carbohydrate binding, Metal ion binding",Sugar binding protein
80,Pilin (Lancefield T antigen) (Pilus backbone Structural protein),Streptococcus pyogenes serotype M1,,Q9A1S2,"3B2M, 3GLD, 3GLE",11296296; 16088826; 17501921; 18063798; 18063798,Not Available,Structural protein
81,Biofilm operon icaADBC HTH-type negative Transcriptional regulator IcaR (Intercellular adhesion protein R),Staphylococcus epidermidis ,Strain ATCC 35984  /  RP62A,Q5HKQ1,2ZCM,8809760; 15774886; 12142410; 18208836,DNA binding,Transcription
82,Lipoprotein NlpE (Copper homeostasis protein CutF),Escherichia coli ,Strain K12,P40710,"2Z4H, 2Z4I",7635808; 7635807; 9278503; 16738553; 11830644; 15252048; 17698001; 17698001; 17698001,Identical protein binding,Signaling protein activator
83,CRISPR-associated endonuclease Cas6 / Csy4 (EC 3.1.-.-),Pseudomonas aeruginosa,Strain UCBPP-PA14,Q02MM2,"2XLI, 2XLJ, 2XLK, 4AL5, 4AL6, 4AL7, 5UZ9, 6B44, 6B45, 6B46, 6B47, 6B48, 6NE0",17038190; 21398535; 21081758; 21536913; 20829488; 22522703; 20829488; 20829488; 20829488; 22522703; 22522703; 22522703; 28340349; 28985564; 28985564; 28985564; 28985564; 28985564; 30872121,"Endonuclease activity, RNA binding",Immune system / RNA
84,Autotransporter adhesin SadA (Salmonella adhesin A) (Type 5 secretion system autotransporter SadA),Salmonella typhimurium ,Strain LT2  /  SGSC1412  /  ATCC 700720,Q8ZL64,"2WPQ, 2WPR, 2WPS, 2YNY, 2YNZ, 2YO0, 2YO1, 2YO2, 2YO3, 3ZMF",11677609; 21859856; 24369174; 18093992; 19805097; 23213248; 19805097; 19805097;19805097; 23213248; 23213248; 23213248; 23213248; 23213248; 23213248;18093992,Not Available,Membrane protein
85,2-aminobenzoylacetyl-CoA thioesterase (EC 3.1.2.32),Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,P20581,"2Q0I, 2Q0J, 2VW8, 3DH8, 5HIO, 5HIP, 5HIQ, 5HIS, 7KGW, 7KGX",2153661; 10984043; 12426334; 18776012; 25960261; 27851827; 19788310; 20419351; 27082157; 19788310; 19788310; 20419351; 19788310; 27082157; 27082157; 27082157; 27082157; 33793200; 33793200,"Beta-lactamase activity, Metal ion binding",Hydrolase
86,Probable two-component-system connector protein AriR,Escherichia coli ,Strain K12,P75993,2OXL,9278503; 16738553; 15470704; 17511876; 18174134; 19172264; 19240136; 17765265; 17765265,DNA binding,Gene regulation
87,Transcription antitermination protein RfaH,Escherichia coli ,Strain K12,P0AFW0,"2OUG, 5OND, 6C6S, 6C6T",1584020; 1379743; 9278503; 16738553; 8606157; 8951819; 9171395; 9426123; 10660066; 12007406; 11983161; 16452414; 17434131; 17434131; 29741479; 29887376; 29887376,"Bacterial-type RNA polymerase core enzyme binding, DNA binding, Transcription antitermination factor activity,  DNA binding, translation activator activity",Transcription
88,High-affinity zinc uptake system binding-protein ZnuA,Bacillus subtilis ,Strain 168,O34966,2O1E,9274031; 9384377; 9811636; 12426338; 14730579; 21813502; 22882210,Metal ion binding,Structural protein
89,Curli production assembly / transport component CsgE,Escherichia coli ,Strain K12,P0AE95,2NA4,8817489; 8905232; 9278503; 16738553,Identical protein binding,Chaperone / protein transport
90,"Type-1 fimbrial protein,  A chain (Type-1A pilin)",Escherichia coli ,Strain K12,P04128,2M5G,2858471; 6147250; 7610040; 9278503; 16738553,Identical protein binding,Structural protein
91,Sensor protein QseC (EC 2.7.13.3),Escherichia coli ,Strain K12,P40719,"2KSE, 3JZ3",9278503; 16738553; 11929534; 15919996; 16352847; 20498088; 20594156,"ATP binding, phosphorelay sensor kinase activity",Transferase
92,Protein FimF,Escherichia coli ,Strain K12,P08189,2JMR,2890081; 7610040; 9278503; 16738553; 1970114,Not Available,Cell adhesion
93,Competence stimulating peptide (Competence stimulating protein),Streptococcus mutans,,Q99QI5,2I2J,11208787; 16936029,Pheromone activity,Signaling protein
94,Toxin YoeB (EC 3.1.-.-) (Putative endoribonuclease YoeB) (Putative mRNA interferase Yoeb),Escherichia coli ,Strain K12,P69348,"2A6Q, 2A6R, 2A6S, 4V8X, 6NY6",9278503; 16738553; 14672926; 15009896; 15980067; 16768798; 17170003; 18854355; 19028895; 19124462; 19400780; 21788497; 29531044; 16109374; 16109374; 16109374; 16109374; 23945936; 31501867,"Endoribonuclease activity, endoribonuclease activity,  producing 3'-phosphomonoesters, ribosomal small subunit binding, RNA binding",Ribosome
95,Antitoxin YefM,Escherichia coli ,Strain K12,P69346,2A6Q,9097040; 9278503; 16738553; 6170941; 7567469; 14672926; 15009896; 15980067; 16768798; 17170003; 19028895; 19400780; 16109374; 16109374,"Sequence-specific DNA binding, toxic substance binding",Toxin inhibhitor
